Date,No.Affected
15Feb,3
16Feb,3
17Feb,3
18Feb,3
19Feb,3
20Feb,4
21Feb,19
22Feb,75
23Feb,152
24Feb,221
25Feb,310
26Feb,455
27Feb,593
28Feb,822
29Feb,1049
01Mar,1577
02Mar,1835
03Mar,2263
04Mar,2706
05Mar,3296
06Mar,3916
07Mar,5061
08Mar,6387
09Mar,7985
10Mar,8514
11Mar,10590
12Mar,12839
13Mar,14955
14Mar,17750
15Mar,20603
16Mar,23073
17Mar,26062
18Mar,28710
19Mar,33190
20Mar,37860
21Mar,42681
22Mar,46638
23Mar,50418
24Mar,54030
25Mar,57521
26Mar,62013
27Mar,66414
